id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
12908,Sarees,10,8,6,6,6,8,1,11,10,8,3
36954,Women Tshirts,8,6,4,8,10,3,5,6,3,7,4
43213,Women Tshirts,8,0,6,2,10,13,5,6,3,7,4
64629,Women Tops & Tunics,10,8,3,6,4,0,6,4,3,7,4
56913,Women Tops & Tunics,10,10,2,8,4,0,6,8,2,11,4
18958,Sarees,10,14,14,0,2,8,3,11,7,13,8
23407,Sarees,10,2,5,5,2,8,3,11,10,3,3
16965,Sarees,10,15,14,0,2,1,3,7,10,3,3
5643,Men Tshirts,5,8,9,7,7,10,3,4,3,7,4
17021,Sarees,10,8,12,9,0,8,3,4,10,8,3
1249,Men Tshirts,5,2,7,7,2,10,3,4,3,7,4
50868,Women Tshirts,8,17,8,2,10,13,5,6,3,7,4
54451,Women Tops & Tunics,10,13,8,8,2,7,4,5,8,11,4
39213,Women Tshirts,8,11,8,2,10,13,2,6,3,7,4
11384,Sarees,10,15,13,9,5,8,1,10,10,0,3
50296,Women Tshirts,8,17,8,8,10,13,5,6,3,7,4
55718,Women Tops & Tunics,10,0,3,6,7,7,3,4,3,7,4
7120,Men Tshirts,5,8,6,7,7,7,3,4,3,7,4
38076,Women Tshirts,8,2,8,8,10,3,5,6,3,7,4
16644,Sarees,10,15,13,0,5,8,1,10,10,7,3
49592,Women Tshirts,8,17,8,8,10,13,5,6,3,7,4
270,Men Tshirts,5,6,9,7,2,10,3,4,3,7,4
55404,Women Tops & Tunics,10,8,8,6,7,7,3,8,8,7,4
42823,Women Tshirts,8,2,8,8,10,13,5,6,1,7,4
16463,Sarees,10,15,13,9,5,8,1,10,10,7,3
32602,Women Tshirts,8,18,4,4,2,2,2,6,3,7,4
34200,Women Tshirts,8,2,8,4,10,3,0,6,3,7,4
47380,Women Tshirts,8,18,8,2,10,13,5,6,3,7,4
18906,Sarees,10,8,14,9,18,12,3,4,10,8,8
6788,Men Tshirts,5,8,6,6,2,7,3,4,3,7,4
48613,Women Tshirts,8,17,8,8,10,4,5,6,3,7,4
40485,Women Tshirts,8,0,8,2,10,9,5,6,3,7,4
51768,Women Tops & Tunics,10,5,3,8,15,0,6,8,2,9,2
14706,Sarees,10,2,14,0,2,12,3,11,10,3,3
68726,Women Tops & Tunics,10,0,3,8,13,0,4,1,5,11,2
4547,Men Tshirts,5,17,9,7,16,10,3,4,3,7,4
51233,Women Tshirts,8,17,8,2,7,7,3,4,3,7,4
25339,Sarees,10,16,14,0,2,1,3,11,7,13,3
20711,Sarees,10,15,13,0,5,8,1,10,10,7,3
10540,Sarees,10,15,13,0,5,8,1,10,10,7,3
17735,Sarees,10,15,14,0,2,1,3,11,7,13,3
10570,Sarees,10,15,13,0,5,8,1,10,10,7,3
8772,Sarees,10,8,12,9,0,8,3,4,10,8,3
29402,Kurtis,9,0,6,6,1,6,0,1,8,10,4
49713,Women Tshirts,8,17,8,8,10,13,5,6,3,7,4
37123,Women Tshirts,8,0,4,8,10,4,5,6,3,7,4
34070,Women Tshirts,8,18,6,2,10,13,0,4,3,7,4
68975,Women Tops & Tunics,10,8,6,8,7,0,6,4,3,9,4
61278,Women Tops & Tunics,10,10,3,6,15,0,3,4,5,7,4
6138,Men Tshirts,5,8,9,7,7,7,3,4,3,7,4
49151,Women Tshirts,8,17,6,6,7,7,3,4,3,7,4
9789,Sarees,10,15,10,0,18,12,0,7,10,3,3
33237,Women Tshirts,8,5,6,2,12,11,5,6,3,7,4
21035,Sarees,10,8,13,9,2,12,3,4,10,5,3
24636,Sarees,10,2,14,0,2,12,3,11,10,3,3
10108,Sarees,10,2,5,5,2,8,3,7,10,3,3
65860,Women Tops & Tunics,10,1,6,6,7,7,3,4,3,7,2
35145,Women Tshirts,8,6,8,8,2,2,5,6,3,7,4
44460,Women Tshirts,8,2,8,8,10,13,5,6,3,7,4
59675,Women Tops & Tunics,10,8,6,6,4,0,6,4,5,7,4
161,Men Tshirts,5,2,7,10,12,10,3,4,3,7,4
17876,Sarees,10,8,13,9,18,8,3,4,9,6,3
61443,Women Tops & Tunics,10,0,3,2,11,0,4,8,6,12,2
60431,Women Tops & Tunics,10,1,8,8,14,0,6,8,5,9,4
17343,Sarees,10,8,14,9,0,8,3,4,10,6,8
26540,Kurtis,9,8,0,1,1,2,0,1,8,10,4
738,Men Tshirts,5,2,9,7,2,10,3,4,3,7,4
47996,Women Tshirts,8,17,8,2,10,3,5,6,3,7,4
40239,Women Tshirts,8,0,8,2,10,3,5,6,3,7,4
33608,Women Tshirts,8,2,8,4,2,2,5,6,3,7,4
22283,Sarees,10,8,14,0,2,12,3,4,10,3,3
52743,Women Tops & Tunics,10,1,3,2,11,0,6,8,2,11,2
59713,Women Tops & Tunics,10,13,6,2,4,7,3,8,3,11,5
66847,Women Tops & Tunics,10,5,8,8,11,0,4,1,8,11,4
30692,Kurtis,9,1,6,6,1,7,3,1,8,10,4
62834,Women Tops & Tunics,10,8,6,6,13,7,6,4,5,7,4
24589,Sarees,10,15,14,0,2,1,7,11,4,2,3
32285,Kurtis,9,6,6,6,1,7,3,4,8,10,4
46267,Women Tshirts,8,18,8,8,10,13,5,6,3,7,4
48654,Women Tshirts,8,0,8,2,10,13,5,6,3,7,4
24318,Sarees,10,2,14,0,2,8,1,1,10,5,3
3399,Men Tshirts,5,6,7,10,12,10,3,4,3,7,4
55804,Women Tops & Tunics,10,2,3,8,11,0,0,8,6,12,4
27980,Kurtis,9,4,0,3,1,7,0,1,8,10,4
59342,Women Tops & Tunics,10,0,6,6,7,0,3,4,3,7,4
26247,Kurtis,9,7,0,3,1,6,6,8,8,10,4
65363,Women Tops & Tunics,10,8,6,6,7,0,3,8,3,3,4
38762,Women Tshirts,8,0,8,8,10,3,5,6,3,7,4
46188,Women Tshirts,8,2,8,2,7,13,3,6,3,7,4
40657,Women Tshirts,8,2,8,8,10,2,5,6,3,7,4
47276,Women Tshirts,8,2,8,2,10,13,5,6,3,7,4
37408,Women Tshirts,8,6,8,8,10,9,5,4,3,7,4
53538,Women Tops & Tunics,10,17,6,6,7,7,6,4,3,7,4
54527,Women Tops & Tunics,10,3,8,8,4,0,6,8,8,3,1
56035,Women Tops & Tunics,10,7,3,8,11,0,6,8,8,3,2
63283,Women Tops & Tunics,10,8,8,6,7,0,6,4,2,7,4
21873,Sarees,10,15,13,9,5,8,1,10,10,7,3
23010,Sarees,10,8,12,9,0,8,3,4,10,8,3
37595,Women Tshirts,8,2,8,4,10,9,5,6,3,7,4
57874,Women Tops & Tunics,10,5,6,8,11,7,3,4,3,11,2
67657,Women Tops & Tunics,10,3,1,2,11,0,4,9,2,11,4
35309,Women Tshirts,8,18,8,8,2,2,5,6,3,7,4
25162,Sarees,10,2,14,0,2,12,3,11,10,3,3
51083,Women Tshirts,8,17,8,2,10,13,5,6,3,7,4
32509,Kurtis,9,13,0,6,1,7,3,4,8,10,4
42048,Women Tshirts,8,0,8,2,10,3,5,6,3,7,4
46376,Women Tshirts,8,17,6,8,10,3,5,6,3,7,4
1639,Men Tshirts,5,6,7,10,12,10,3,4,3,7,4
35586,Women Tshirts,8,0,8,4,10,3,5,6,3,7,4
4950,Men Tshirts,5,17,7,10,12,10,3,4,3,7,4
50732,Women Tshirts,8,17,6,6,7,7,3,4,3,7,4
26764,Kurtis,9,0,11,3,1,6,0,1,8,10,4
66660,Women Tops & Tunics,10,0,8,2,11,0,6,1,2,11,1
21640,Sarees,10,8,13,0,2,14,3,4,10,3,3
27514,Kurtis,9,13,0,1,1,2,0,1,8,10,4
2047,Men Tshirts,5,2,7,10,12,10,3,4,3,7,4
38191,Women Tshirts,8,6,8,8,10,2,5,6,3,7,4
9245,Sarees,10,8,13,0,2,12,3,4,10,3,3
56876,Women Tops & Tunics,10,13,3,2,17,0,6,8,2,11,2
12640,Sarees,10,2,5,5,2,8,3,7,10,3,3
37728,Women Tshirts,8,6,8,2,2,2,5,6,3,7,4
16999,Sarees,10,8,14,9,0,8,3,4,10,4,3
68704,Women Tops & Tunics,10,11,1,2,17,0,4,9,5,11,4
63120,Women Tops & Tunics,10,0,3,8,11,0,6,8,2,9,4
67177,Women Tops & Tunics,10,0,1,2,11,0,4,9,2,11,4
44107,Women Tshirts,8,2,8,2,10,13,5,6,3,7,4
65903,Women Tops & Tunics,10,2,3,8,4,0,6,8,5,9,2
41534,Women Tshirts,8,11,8,8,10,4,3,4,3,7,4
25026,Sarees,10,8,13,9,0,8,3,4,10,4,8
31824,Kurtis,9,5,6,6,1,7,3,1,8,10,4
7119,Men Tshirts,5,8,6,6,7,10,3,4,3,7,4
7914,Sarees,10,15,13,9,5,8,1,10,10,0,3
4666,Men Tshirts,5,6,7,6,12,7,3,4,3,7,4
6046,Men Tshirts,5,17,6,7,2,10,3,4,3,7,4
53851,Women Tops & Tunics,10,2,6,6,7,7,3,8,3,7,4
49425,Women Tshirts,8,17,8,8,10,13,5,6,3,7,4
40216,Women Tshirts,8,17,8,8,12,11,5,6,3,7,4
34472,Women Tshirts,8,11,8,8,10,3,2,0,3,7,4
10903,Sarees,10,8,2,9,2,7,0,4,1,3,3
52428,Women Tops & Tunics,10,0,3,2,11,0,4,9,6,12,4
69122,Women Tops & Tunics,10,8,6,8,13,7,3,4,3,7,4
54645,Women Tops & Tunics,10,5,3,2,11,0,6,8,5,11,2
14913,Sarees,10,8,14,9,18,8,3,4,10,6,3
69098,Women Tops & Tunics,10,1,3,8,11,0,6,8,8,11,2
6264,Men Tshirts,5,8,9,7,7,7,3,4,3,7,4
7553,Sarees,10,2,5,5,2,8,3,11,10,3,3
8402,Sarees,10,8,14,9,0,12,3,4,10,8,8
5995,Men Tshirts,5,8,6,10,12,7,3,4,3,7,4
39797,Women Tshirts,8,0,8,2,10,3,5,6,3,7,4
50551,Women Tshirts,8,8,8,2,7,13,5,6,3,7,4
61932,Women Tops & Tunics,10,0,3,2,11,0,4,5,6,12,4
2709,Men Tshirts,5,2,7,10,12,10,3,4,3,7,4
30464,Kurtis,9,13,0,6,1,7,0,4,8,10,4
3353,Men Tshirts,5,6,7,10,12,10,3,4,3,7,4
1761,Men Tshirts,5,2,7,10,12,10,3,4,3,7,4
18448,Sarees,10,15,12,9,18,12,1,10,10,8,8
50957,Women Tshirts,8,17,6,8,7,7,3,4,3,7,4
31243,Kurtis,9,0,6,6,1,7,3,4,8,10,4
32990,Women Tshirts,8,18,6,8,12,11,2,6,3,7,4
7744,Sarees,10,15,13,0,5,8,1,10,10,7,3
16694,Sarees,10,8,14,9,18,8,3,4,10,5,3
53378,Women Tops & Tunics,10,13,8,8,17,0,6,8,5,3,4
57063,Women Tops & Tunics,10,8,6,2,17,0,3,4,3,7,4
17603,Sarees,10,8,13,6,5,1,3,4,3,7,3
44944,Women Tshirts,8,17,6,6,10,3,5,6,3,7,4
5469,Men Tshirts,5,6,7,10,12,10,3,4,3,7,4
66252,Women Tops & Tunics,10,2,8,6,7,7,3,4,5,7,4
25986,Kurtis,9,0,11,3,1,6,6,8,8,10,4
69579,Women Tops & Tunics,10,11,8,2,2,0,4,3,5,11,0
17992,Sarees,10,15,13,6,5,8,1,10,10,0,3
25551,Sarees,10,8,14,9,18,8,3,4,10,6,3
3458,Men Tshirts,5,17,9,7,16,10,3,4,3,7,4
47928,Women Tshirts,8,11,8,2,10,13,5,6,3,7,4
8229,Sarees,10,15,14,0,2,1,3,11,7,13,3
55343,Women Tops & Tunics,10,1,8,8,11,0,6,8,2,11,6
68153,Women Tops & Tunics,10,8,6,8,7,7,4,1,5,7,4
22722,Sarees,10,8,14,9,0,12,3,4,10,5,3
62500,Women Tops & Tunics,10,18,3,2,11,0,6,8,5,3,2
62674,Women Tops & Tunics,10,17,6,8,7,7,3,8,3,9,4
59485,Women Tops & Tunics,10,8,6,8,13,7,3,4,3,7,2
10713,Sarees,10,15,10,9,18,12,0,7,10,3,3
3135,Men Tshirts,5,0,9,7,2,10,3,4,3,7,4
57379,Women Tops & Tunics,10,18,1,2,11,0,4,3,5,11,4
32398,Kurtis,9,1,6,6,1,7,3,4,8,10,4
61365,Women Tops & Tunics,10,6,8,8,7,7,3,1,3,9,4
24019,Sarees,10,8,14,9,0,12,3,4,10,6,3
27807,Kurtis,9,1,6,6,1,7,0,1,3,10,4
15002,Sarees,10,15,13,0,5,8,1,10,10,7,3
68691,Women Tops & Tunics,10,0,6,2,7,0,3,4,6,7,4
40801,Women Tshirts,8,2,8,8,10,13,0,4,3,7,4
44303,Women Tshirts,8,2,6,6,7,7,3,4,3,7,4
4485,Men Tshirts,5,0,6,7,16,10,3,4,3,7,4
44222,Women Tshirts,8,2,8,8,10,13,5,6,3,7,4
49646,Women Tshirts,8,17,8,8,10,13,5,6,3,7,4
29287,Kurtis,9,13,6,1,1,7,3,1,8,10,4
48211,Women Tshirts,8,0,8,2,10,13,5,6,3,7,4
43492,Women Tshirts,8,8,8,6,7,4,5,6,3,7,4
48428,Women Tshirts,8,17,8,8,10,4,5,6,3,7,4
24005,Sarees,10,8,14,9,0,8,3,4,10,6,8
64375,Women Tops & Tunics,10,18,8,8,2,0,6,8,5,3,4
58470,Women Tops & Tunics,10,10,8,2,7,7,6,4,3,11,2
65939,Women Tops & Tunics,10,1,8,2,11,0,4,5,6,12,4
44771,Women Tshirts,8,11,8,2,10,13,5,6,3,7,4
57843,Women Tops & Tunics,10,8,6,8,7,7,6,8,5,9,2
2462,Men Tshirts,5,17,9,7,2,10,3,4,3,7,4
29076,Kurtis,9,1,6,3,1,7,0,1,8,10,4
5796,Men Tshirts,5,2,6,6,16,7,3,4,3,7,4
57954,Women Tops & Tunics,10,13,6,8,7,0,6,4,3,9,4
60749,Women Tops & Tunics,10,3,3,8,14,0,6,8,5,9,4
23317,Sarees,10,8,14,9,0,8,3,4,10,6,3
22743,Sarees,10,8,13,6,5,1,3,4,3,7,3
25250,Sarees,10,8,14,9,0,8,3,4,10,4,3
26845,Kurtis,9,9,0,3,7,6,6,8,8,10,4
39471,Women Tshirts,8,17,4,8,10,9,5,6,3,7,4
42900,Women Tshirts,8,0,8,8,10,4,5,6,3,7,4
58821,Women Tops & Tunics,10,11,3,2,11,0,4,5,6,12,4
47561,Women Tshirts,8,0,8,2,10,13,5,6,3,7,4
64404,Women Tops & Tunics,10,8,8,6,7,0,4,1,3,7,4
38648,Women Tshirts,8,5,6,8,7,2,3,4,3,7,4
62014,Women Tops & Tunics,10,1,8,8,11,0,6,8,8,9,4
30180,Kurtis,9,5,6,3,1,7,0,4,8,10,4
51999,Women Tops & Tunics,10,1,3,2,17,0,6,8,2,11,2
38050,Women Tshirts,8,0,8,8,10,9,5,6,3,7,4
68398,Women Tops & Tunics,10,17,2,2,11,0,6,8,8,9,4
2872,Men Tshirts,5,2,7,10,12,10,3,4,3,7,4
65292,Women Tops & Tunics,10,2,3,2,11,0,4,9,6,12,4
27175,Kurtis,9,0,11,3,1,6,0,1,8,10,4
48874,Women Tshirts,8,17,8,8,10,13,5,6,3,7,4
30773,Kurtis,9,12,6,6,1,7,6,4,8,10,4
31442,Kurtis,9,13,6,6,1,7,3,4,8,10,4
9515,Sarees,10,15,14,9,0,8,3,4,10,8,3
36671,Women Tshirts,8,17,8,2,10,9,0,4,3,7,4
31538,Kurtis,9,18,0,6,1,7,3,4,8,10,4
27330,Kurtis,9,13,0,3,1,6,6,8,8,10,4
69424,Women Tops & Tunics,10,1,8,8,11,8,4,9,2,3,1
28208,Kurtis,9,5,0,3,1,7,0,1,8,10,4
46460,Women Tshirts,8,0,8,2,10,13,5,6,3,7,4
51688,Women Tops & Tunics,10,2,1,2,11,0,4,1,2,11,1
49410,Women Tshirts,8,17,8,2,10,13,5,6,3,7,4
2484,Men Tshirts,5,2,7,10,12,10,3,4,3,7,4
30155,Kurtis,9,0,6,6,1,7,3,4,8,10,4
45560,Women Tshirts,8,2,6,8,7,7,3,4,3,7,4
65792,Women Tops & Tunics,10,7,2,8,2,0,6,8,5,11,4
15892,Sarees,10,14,12,0,6,8,3,11,7,13,3
25161,Sarees,10,15,13,0,5,8,1,10,10,7,3
26139,Kurtis,9,13,11,3,1,6,0,1,8,10,4
40140,Women Tshirts,8,18,8,8,10,9,5,6,3,7,4
14504,Sarees,10,8,14,9,18,8,3,4,10,6,3
59465,Women Tops & Tunics,10,8,3,2,7,7,4,4,6,7,4
32802,Women Tshirts,8,2,1,8,10,2,2,4,3,7,4
64732,Women Tops & Tunics,10,8,6,6,7,7,0,1,3,7,4
44719,Women Tshirts,8,0,8,2,10,13,5,6,3,7,4
996,Men Tshirts,5,0,7,10,12,10,3,4,3,7,4
26556,Kurtis,9,5,11,3,1,6,0,1,8,10,4
66146,Women Tops & Tunics,10,8,8,6,7,7,6,4,5,9,4
51280,Women Tshirts,8,17,8,8,10,13,5,6,3,7,4
47283,Women Tshirts,8,2,8,6,7,13,5,6,3,7,4
61107,Women Tops & Tunics,10,8,6,6,14,0,6,4,3,9,4
67944,Women Tops & Tunics,10,2,8,8,2,0,6,8,5,3,4
42733,Women Tshirts,8,18,8,8,10,2,5,6,3,7,4
52834,Women Tops & Tunics,10,8,6,8,7,7,4,1,5,11,2
38666,Women Tshirts,8,18,8,8,10,2,5,6,3,7,4
70180,Women Tops & Tunics,10,17,2,8,11,0,4,9,5,11,4
68746,Women Tops & Tunics,10,0,3,8,4,0,6,8,5,7,2
19524,Sarees,10,15,14,9,18,12,0,11,10,3,3
57604,Women Tops & Tunics,10,1,3,8,15,0,6,8,5,9,5
35239,Women Tshirts,8,0,8,4,10,4,5,6,3,7,4
9841,Sarees,10,8,14,9,0,12,3,4,10,3,3
38485,Women Tshirts,8,17,1,2,10,4,5,6,3,7,4
47338,Women Tshirts,8,17,8,8,10,4,5,6,3,7,4
36764,Women Tshirts,8,18,8,2,10,2,2,6,3,7,4
18294,Sarees,10,8,14,9,18,8,3,4,10,8,8
1786,Men Tshirts,5,0,9,7,2,10,3,4,3,7,4
20699,Sarees,10,8,6,6,2,8,3,11,10,5,3
58281,Women Tops & Tunics,10,18,3,8,15,0,6,8,5,9,4
13255,Sarees,10,15,13,9,5,8,1,10,10,0,3
25739,Sarees,10,8,13,6,5,12,3,4,3,7,3
57124,Women Tops & Tunics,10,17,3,8,4,0,0,1,2,11,4
48028,Women Tshirts,8,17,8,2,10,9,5,6,3,7,4
10914,Sarees,10,8,14,9,0,8,3,4,10,3,8
20403,Sarees,10,15,13,0,5,8,1,10,10,7,3
59613,Women Tops & Tunics,10,8,3,8,13,0,6,4,3,7,2
40097,Women Tshirts,8,17,8,8,12,11,5,6,3,7,4
39804,Women Tshirts,8,0,8,8,10,9,5,6,3,7,4
8997,Sarees,10,15,13,0,5,8,1,10,10,7,3
58519,Women Tops & Tunics,10,3,8,2,17,0,6,8,5,11,7
35375,Women Tshirts,8,0,8,8,10,4,0,6,3,7,4
61378,Women Tops & Tunics,10,10,3,2,4,0,6,8,5,3,0
55490,Women Tops & Tunics,10,13,3,2,17,0,6,8,2,9,1
11541,Sarees,10,8,13,6,5,12,3,4,3,7,3
65379,Women Tops & Tunics,10,2,8,6,7,7,3,8,3,7,4
38362,Women Tshirts,8,0,8,8,10,9,5,6,3,7,4
2975,Men Tshirts,5,17,9,7,2,10,3,4,3,7,4
19355,Sarees,10,15,13,9,5,8,1,10,10,0,3
16066,Sarees,10,8,14,9,0,12,3,4,10,5,3
38447,Women Tshirts,8,5,8,8,10,3,5,6,3,7,4
24341,Sarees,10,14,12,0,2,8,3,11,9,2,3
41972,Women Tshirts,8,2,8,2,10,3,5,6,3,7,4
62126,Women Tops & Tunics,10,8,3,8,14,7,3,8,5,9,4
16080,Sarees,10,15,13,0,5,8,1,10,10,7,3
59957,Women Tops & Tunics,10,0,8,6,7,7,6,8,5,7,4
2099,Men Tshirts,5,6,7,10,12,10,3,4,3,7,4
50578,Women Tshirts,8,17,8,8,10,7,3,4,3,7,4
34834,Women Tshirts,8,11,1,2,10,3,5,6,3,7,4
163,Men Tshirts,5,2,7,10,12,10,3,4,3,7,4
10456,Sarees,10,8,14,9,18,8,3,4,10,1,3
57460,Women Tops & Tunics,10,8,8,6,7,7,3,4,3,9,4
52367,Women Tops & Tunics,10,2,8,8,11,0,4,2,8,11,5
12526,Sarees,10,8,14,9,18,8,3,4,10,4,8
64140,Women Tops & Tunics,10,8,6,8,7,7,6,4,8,7,4
12746,Sarees,10,8,14,9,0,8,3,4,10,6,3
47991,Women Tshirts,8,2,6,6,7,7,3,4,3,7,4
39925,Women Tshirts,8,2,6,8,7,9,3,4,3,7,4
16313,Sarees,10,14,14,9,5,12,3,11,10,3,3
38470,Women Tshirts,8,2,8,2,10,9,5,6,3,7,4
39259,Women Tshirts,8,0,8,8,10,9,5,6,3,7,4
11513,Sarees,10,8,6,6,7,7,1,11,3,7,4
61556,Women Tops & Tunics,10,8,2,6,7,7,3,8,3,7,4
57147,Women Tops & Tunics,10,5,8,8,11,7,6,8,8,7,4
64929,Women Tops & Tunics,10,8,3,8,7,7,3,4,5,9,4
26688,Kurtis,9,5,0,3,1,2,6,8,6,12,4
26867,Kurtis,9,7,11,3,1,6,0,1,8,10,4
52506,Women Tops & Tunics,10,18,1,2,11,8,4,9,5,11,4
6770,Men Tshirts,5,17,9,6,7,10,3,4,3,7,4
6892,Men Tshirts,5,8,6,10,7,10,3,4,3,7,4
40637,Women Tshirts,8,2,8,8,10,9,5,6,3,7,4
16244,Sarees,10,8,14,9,18,8,3,4,10,4,8
52101,Women Tops & Tunics,10,8,6,6,7,7,3,4,3,9,4
39388,Women Tshirts,8,18,8,8,10,9,3,4,3,7,4
1117,Men Tshirts,5,6,9,6,2,10,3,4,3,7,4
51940,Women Tops & Tunics,10,8,6,6,7,7,3,4,2,11,4
61647,Women Tops & Tunics,10,0,1,2,11,0,4,9,5,11,4
46921,Women Tshirts,8,2,8,8,10,13,5,6,3,7,4
48092,Women Tshirts,8,2,6,6,10,7,5,6,3,7,4
64510,Women Tops & Tunics,10,2,8,6,7,0,3,4,5,7,4
22154,Sarees,10,14,12,0,6,8,1,11,7,13,8
65902,Women Tops & Tunics,10,17,1,2,11,0,4,3,5,11,4
53441,Women Tops & Tunics,10,11,3,6,11,7,6,4,2,11,2
25214,Sarees,10,8,14,9,18,8,3,4,10,6,3
6259,Men Tshirts,5,8,9,6,7,7,3,4,3,7,4
26206,Kurtis,9,13,11,3,1,6,0,1,8,10,4
56000,Women Tops & Tunics,10,0,2,8,15,0,6,8,5,7,1
28178,Kurtis,9,4,0,3,1,7,0,1,8,10,4
10495,Sarees,10,2,13,6,5,12,3,11,10,3,3
10568,Sarees,10,8,14,9,0,8,3,4,10,8,8
46940,Women Tshirts,8,17,8,2,10,3,5,6,3,7,4
27730,Kurtis,9,13,11,3,1,6,0,1,8,10,4
40683,Women Tshirts,8,0,8,8,10,2,5,6,3,7,4
59801,Women Tops & Tunics,10,2,3,8,13,0,6,8,5,9,5
3118,Men Tshirts,5,17,9,7,2,10,3,4,3,7,4
1133,Men Tshirts,5,0,9,6,2,10,3,4,3,7,4
15500,Sarees,10,2,14,0,18,12,1,7,10,5,3
30896,Kurtis,9,13,6,6,1,7,3,4,5,10,4
31260,Kurtis,9,5,6,6,1,7,3,4,5,10,4
31230,Kurtis,9,13,6,6,1,2,3,4,5,10,4
12646,Sarees,10,8,14,9,0,8,3,4,10,8,8
27029,Kurtis,9,1,0,3,1,6,6,8,8,10,4
60784,Women Tops & Tunics,10,11,1,2,11,0,4,9,5,11,4
65569,Women Tops & Tunics,10,8,6,8,7,7,3,4,2,7,4
35037,Women Tshirts,8,18,1,2,10,9,5,6,3,7,4
15462,Sarees,10,2,2,6,2,12,3,11,10,3,3
2034,Men Tshirts,5,6,7,10,12,10,3,4,3,7,4
42357,Women Tshirts,8,18,8,8,10,3,5,6,3,7,4
68265,Women Tops & Tunics,10,8,6,6,2,7,6,4,2,7,2
19555,Sarees,10,8,14,9,18,8,3,4,10,8,3
66140,Women Tops & Tunics,10,0,8,8,2,0,6,8,5,11,4
10569,Sarees,10,8,14,0,5,14,3,7,10,3,3
59450,Women Tops & Tunics,10,17,3,2,11,0,6,8,5,11,2
41653,Women Tshirts,8,2,8,8,10,9,5,6,3,7,4
33081,Women Tshirts,8,0,1,2,10,11,2,6,3,7,4
48525,Women Tshirts,8,2,8,2,10,13,5,6,3,7,4
5321,Men Tshirts,5,0,9,6,2,7,3,4,3,7,4
14673,Sarees,10,15,13,9,5,8,1,10,10,7,3
63664,Women Tops & Tunics,10,7,3,2,4,0,6,8,5,3,0
54521,Women Tops & Tunics,10,5,3,8,17,0,6,8,5,9,2
21702,Sarees,10,8,14,0,18,12,3,4,10,5,3
1594,Men Tshirts,5,6,7,10,12,10,3,4,3,7,4
29633,Kurtis,9,0,0,6,1,6,6,4,8,10,4
55392,Women Tops & Tunics,10,8,6,6,4,7,3,4,3,7,4
32193,Kurtis,9,6,6,6,1,7,3,4,8,10,4
12738,Sarees,10,14,14,0,2,8,3,11,7,13,3
26144,Kurtis,9,13,0,1,1,6,6,8,8,10,4
50407,Women Tshirts,8,8,6,6,10,13,3,4,3,7,4
